id_specification,specification,id_site,site,Month,goods_specy,goods_variety,nb_individus,Baseline_malt_yield_r2,Baseline_malt_dry_yield,Baseline_goods_weight,Baseline_goods_moisture,Baseline_malt_moisture,Baseline_electricity,Baseline_thermal,Baseline_FAN,Baseline_friabilite,Baseline_coloration_EBC,Baseline_betaG,Baseline_quality,created_at,updated_at,deleted_at
61,IBON,15,BOLELEMI1,12,2RP,IBON,8,85.20625,93.69999999999999,282.45,12.95555555555556,4.52,,,146.7777777777778,56.46222222222222,4.0,266.96,,,,
99,monthly_average,15,BOLELEMI1,1,,,44,84.78431818181818,93.12142857142858,286.0554545454546,12.6046511627907,4.23,,,151.0,86.7942857142857,3.642142857142857,208.875,,,,
99,monthly_average,15,BOLELEMI1,2,,,32,84.4603125,92.60833333333333,284.3282352941176,12.65882352941176,4.178571428571429,,,156.5,70.74142857142857,4.572857142857143,264.3076923076923,,,,
99,monthly_average,15,BOLELEMI1,3,,,63,84.35650793650794,93.16730769230769,284.5224137931035,13.37142857142857,4.299423076923077,,,131.1923076923077,75.78423076923077,4.092884615384615,276.9148936170213,,,,
99,monthly_average,15,BOLELEMI1,4,,,53,83.82735849056604,93.152,285.7866037735849,13.92692307692308,4.329607843137255,,,128.1764705882353,79.99313725490197,3.902941176470589,247.6875,,,,
99,monthly_average,15,BOLELEMI1,5,,,64,83.8478125,92.90877192982457,285.6014285714286,13.68253968253968,4.245,,,128.3914,79.70775862068966,3.7832,238.0178571428571,,,,
99,monthly_average,15,BOLELEMI1,6,,,72,84.04138888888889,92.99473684210525,285.1358571428571,13.42142857142857,4.258983050847458,,,136.6296296296296,77.3135593220339,3.946181818181818,238.3684210526316,,,,
99,monthly_average,15,BOLELEMI1,7,,,71,84.14042253521127,93.23174603174604,285.1762121212121,13.83428571428571,4.469206349206349,,,136.6190476190476,73.05666666666666,4.02968253968254,262.5849056603773,,,,
99,monthly_average,15,BOLELEMI1,8,,,49,84.2769387755102,93.28222222222222,284.7472222222222,13.73018867924528,4.51,,,138.9733333333333,73.10777777777777,4.084222222222222,286.575,,,,
99,monthly_average,15,BOLELEMI1,9,,,45,83.74466666666667,93.11904761904762,285.8588888888889,14.08,4.52,,,138.2119047619047,75.87071428571429,4.142857142857143,273.8684210526316,,,,
99,monthly_average,15,BOLELEMI1,10,,,30,84.40599999999999,93.29666666666667,285.6043333333333,13.44666666666667,4.334333333333333,,,144.1266666666667,76.51866666666666,4.002,277.0909090909091,,,,
99,monthly_average,15,BOLELEMI1,11,,,34,84.68323529411765,92.646875,286.2247058823529,12.653125,4.347058823529412,,,144.2852941176471,83.49617647058824,3.773235294117647,269.8,,,,
99,monthly_average,15,BOLELEMI1,12,,,51,84.57607843137255,93.0625,285.808076923077,12.8156862745098,4.389696969696971,,,145.4545454545455,78.3521212121212,3.755454545454546,266.96,,,,
