batch_number,production_line,done,created_at,updated_at,deleted_at
C24C1123,1,2024-12-05 00:00:00,,,
C24C1124,1,2024-12-06 00:00:00,,,
C24C1125,1,2024-12-07 00:00:00,,,
C24C1126,1,2024-12-07 00:00:00,,,
C24C1127,1,2024-12-08 00:00:00,,,
C24C1128,1,2024-12-09 00:00:00,,,
C24C1129,1,2024-12-10 00:00:00,,,
C24C1130,1,2024-12-11 00:00:00,,,
C24C1131,1,2024-12-12 00:00:00,,,
C24C1132,1,2024-12-12 00:00:00,,,
C24C1133,1,2024-12-13 00:00:00,,,
C24C1134,1,2024-12-14 00:00:00,,,
C24C1135,1,2024-12-15 00:00:00,,,
C24C1136,1,2024-12-16 00:00:00,,,
C24C1137,1,2024-12-17 00:00:00,,,
C24C1138,1,2024-12-18 00:00:00,,,
C24C1139,1,2024-12-19 00:00:00,,,
C24C1140,1,2024-12-19 00:00:00,,,
C24C1141,1,2024-12-20 00:00:00,,,
C24C1142,1,2024-12-21 00:00:00,,,
C24C1143,1,2024-12-22 00:00:00,,,
C24C1144,1,2024-12-23 00:00:00,,,
C24C1145,1,2024-12-24 00:00:00,,,
C24C1146,1,2024-12-24 00:00:00,,,
C24C1147,1,2024-12-25 00:00:00,,,
C24C1148,1,2024-12-26 00:00:00,,,
C24C1149,1,2024-12-27 00:00:00,,,
C24C1150,1,2024-12-28 00:00:00,,,
C24C1151,1,2024-12-29 00:00:00,,,
C24C1152,1,2024-12-29 00:00:00,,,
C24C1153,1,2024-12-30 00:00:00,,,
C24C1154,1,2024-12-31 00:00:00,,,
C24C1155,1,2024-12-31 00:00:00,,,
C24C1156,1,2025-01-01 00:00:00,,,
C24C1157,1,2025-01-02 00:00:00,,,
C24C1158,1,2025-01-03 00:00:00,,,
C24C1159,1,2025-01-04 00:00:00,,,
C24C1160,1,2025-01-04 00:00:00,,,
C24C1161,1,2025-01-06 00:00:00,,,
C24C1162,1,2025-01-07 00:00:00,,,
C24C1163,1,2025-01-07 00:00:00,,,
C24C1164,1,2025-01-08 00:00:00,,,
C24C1165,1,2025-01-09 00:00:00,,,
C24C1166,1,2025-01-10 00:00:00,,,
C24C1167,1,2025-01-11 00:00:00,,,
C24C1168,1,2025-01-11 00:00:00,,,
C24C1169,1,2025-01-12 00:00:00,,,
C24C1170,1,2025-01-13 00:00:00,,,
C24C1171,1,2025-01-14 00:00:00,,,
C24C1172,1,2025-01-15 00:00:00,,,
C24C1173,1,2025-01-15 00:00:00,,,
C24C1174,1,2025-01-16 00:00:00,,,
C24C1175,1,2025-01-17 00:00:00,,,
C24C1176,1,2025-01-18 00:00:00,,,
C24C1177,1,2025-01-19 00:00:00,,,
C24C1178,1,2025-01-19 00:00:00,,,
C24C1179,1,2025-01-20 00:00:00,,,
C24C1180,1,2025-01-21 00:00:00,,,
C24C1181,1,2025-01-22 00:00:00,,,
C24C1182,1,2025-01-23 00:00:00,,,
C24C1183,1,2025-01-23 00:00:00,,,
C24C1184,1,2025-01-24 00:00:00,,,
C24C1185,1,2025-01-25 00:00:00,,,
C24C1186,1,2025-01-26 00:00:00,,,
C24C1187,1,2025-01-26 00:00:00,,,
C24C1188,1,2025-01-27 00:00:00,,,
C24C1189,1,2025-01-28 00:00:00,,,
C24C1190,1,2025-01-29 00:00:00,,,
C24C1191,1,2025-01-30 00:00:00,,,
C24C1192,1,2025-01-31 00:00:00,,,
C24C1193,1,2025-01-31 00:00:00,,,
C24C1194,1,2025-02-01 00:00:00,,,
C24C1195,1,2025-02-02 00:00:00,,,
C24C1196,1,2025-02-03 00:00:00,,,
C24C1197,1,2025-02-04 00:00:00,,,
C24C1198,1,2025-02-05 00:00:00,,,
C24C1199,1,2025-02-05 00:00:00,,,
C24C1200,1,2025-02-06 00:00:00,,,
C24C1201,1,2025-02-07 00:00:00,,,
C24C1202,1,2025-02-08 00:00:00,,,
C24C1203,1,2025-02-09 00:00:00,,,
C24C1204,1,2025-02-10 00:00:00,,,
C24C1205,1,2025-02-11 00:00:00,,,
C24C1206,1,2025-02-11 00:00:00,,,
C24C1207,1,2025-02-12 00:00:00,,,
C24C1208,1,2025-02-13 00:00:00,,,
C24C1209,1,2025-02-14 00:00:00,,,
C24C1210,1,2025-02-15 00:00:00,,,
C24C1211,1,2025-02-16 00:00:00,,,
C24C1212,1,2025-02-17 00:00:00,,,
C24C1213,1,2025-02-17 00:00:00,,,
C24C1214,1,2025-02-18 00:00:00,,,
C24C1215,1,2025-02-19 00:00:00,,,
C24C1216,1,2025-02-20 00:00:00,,,
C24C1217,1,2025-02-21 00:00:00,,,
C24C1218,1,2025-02-21 00:00:00,,,
C24C1219,1,2025-02-23 00:00:00,,,
C24C1220,1,2025-02-23 00:00:00,,,
C24C1221,1,2025-02-24 00:00:00,,,
C24C1222,1,2025-02-25 00:00:00,,,
C24C1223,1,2025-02-26 00:00:00,,,
C24C1224,1,2025-02-27 00:00:00,,,
C24C1225,1,2025-02-27 00:00:00,,,
C24C1226,1,2025-02-28 00:00:00,,,
C24C1227,1,2025-03-01 00:00:00,,,
C24C1228,1,2025-03-02 00:00:00,,,
C24C1229,1,2025-03-03 00:00:00,,,
C24C1230,1,2025-03-03 00:00:00,,,
C24C1231,1,2025-03-04 00:00:00,,,
C24C1232,1,2025-03-05 00:00:00,,,
C24C1233,1,2025-03-06 00:00:00,,,
C24C1234,1,2025-03-07 00:00:00,,,
C24C1235,1,2025-03-08 00:00:00,,,
C24C1236,1,2025-03-09 00:00:00,,,
C24C1237,1,2025-03-09 00:00:00,,,
C24C1238,1,2025-03-10 00:00:00,,,
C24C1239,1,2025-03-11 00:00:00,,,
C24C1240,1,2025-03-12 00:00:00,,,
C24C1241,1,2025-03-13 00:00:00,,,
C24C1242,1,2025-03-14 00:00:00,,,
C24C1243,1,2025-03-14 00:00:00,,,
C24C1244,1,2025-03-15 00:00:00,,,
C24C1245,1,2025-03-16 00:00:00,,,
C24C1246,1,2025-03-17 00:00:00,,,
C24C1247,1,2025-03-18 00:00:00,,,
C24C1248,1,2025-03-19 00:00:00,,,
C24C1249,1,2025-03-19 00:00:00,,,
C24C1250,1,2025-03-20 00:00:00,,,
C24C1251,1,2025-03-21 00:00:00,,,
C24C1252,1,2025-03-22 00:00:00,,,
C24C1253,1,2025-03-23 00:00:00,,,
C24C1254,1,2025-03-23 00:00:00,,,
C24C1255,1,2025-03-24 00:00:00,,,
C24C1256,1,2025-03-25 00:00:00,,,
C24C1257,1,2025-03-26 00:00:00,,,
C24C1258,1,2025-03-26 00:00:00,,,
C24C1259,1,2025-03-27 00:00:00,,,
C24C1260,1,2025-03-28 00:00:00,,,
C24C1261,1,2025-03-29 00:00:00,,,
C24C1262,1,2025-03-30 00:00:00,,,
C24C1263,1,2025-03-31 00:00:00,,,
C24C1264,1,2025-03-31 00:00:00,,,
C24C1265,1,2025-04-01 00:00:00,,,
C24C1266,1,2025-04-02 00:00:00,,,
C24C1267,1,2025-04-03 00:00:00,,,
C24C1268,1,2025-04-04 00:00:00,,,
C24C1269,1,2025-04-04 00:00:00,,,
C24C1270,1,2025-04-05 00:00:00,,,
C24C1271,1,2025-04-06 00:00:00,,,
NG1_2024_7686,6,2024-07-01 00:00:00,,,
NG1_2024_7687,6,2024-07-02 00:00:00,,,
NG1_2024_7688,6,2024-07-03 00:00:00,,,
NG1_2024_7689,6,2024-07-04 00:00:00,,,
NG1_2024_7690,6,2024-07-05 00:00:00,,,
NG1_2024_7691,6,2024-07-06 00:00:00,,,
NG1_2024_7692,6,2024-07-07 00:00:00,,,
NG1_2024_7693,6,2024-07-08 00:00:00,,,
NG1_2024_7694,6,2024-07-09 00:00:00,,,
NG1_2024_7695,6,2024-07-10 00:00:00,,,
NG1_2024_7696,6,2024-07-10 00:00:00,,,
NG1_2024_7697,6,2024-07-11 00:00:00,,,
NG1_2024_7698,6,2024-07-12 00:00:00,,,
NG1_2024_7699,6,2024-07-13 00:00:00,,,
NG1_2024_7700,6,2024-07-14 00:00:00,,,
NG1_2024_7701,6,2024-07-15 00:00:00,,,
NG1_2024_7702,6,2024-07-16 00:00:00,,,
NG1_2024_7703,6,2024-07-17 00:00:00,,,
NG1_2024_7704,6,2024-07-18 00:00:00,,,
NG1_2024_7705,6,2024-07-19 00:00:00,,,
NG1_2024_7706,6,2024-07-20 00:00:00,,,
NG1_2024_7707,6,2024-07-21 00:00:00,,,
NG1_2024_7708,6,2024-07-22 00:00:00,,,
NG1_2024_7709,6,2024-07-23 00:00:00,,,
NG1_2024_7710,6,2024-07-24 00:00:00,,,
NG1_2024_7711,6,2024-07-25 00:00:00,,,
NG1_2024_7712,6,2024-07-26 00:00:00,,,
NG1_2024_7713,6,2024-07-27 00:00:00,,,
NG1_2024_7714,6,2024-07-28 00:00:00,,,
NG1_2024_7715,6,2024-07-29 00:00:00,,,
NG1_2024_7716,6,2024-07-30 00:00:00,,,
NG1_2024_7717,6,2024-07-31 00:00:00,,,
NG1_2024_7718,6,2024-08-01 00:00:00,,,
NG1_2024_7719,6,2024-08-02 00:00:00,,,
NG1_2024_7720,6,2024-08-03 00:00:00,,,
NG1_2024_7721,6,2024-08-04 00:00:00,,,
NG1_2024_7722,6,2024-08-05 00:00:00,,,
NG1_2024_7723,6,2024-08-06 00:00:00,,,
NG1_2024_7724,6,2024-08-07 00:00:00,,,
NG1_2024_7725,6,2024-08-08 00:00:00,,,
NG1_2024_7726,6,2024-08-09 00:00:00,,,
NG1_2024_7727,6,2024-08-10 00:00:00,,,
NG1_2024_7728,6,2024-08-11 00:00:00,,,
NG1_2024_7729,6,2024-08-12 00:00:00,,,
NG1_2024_7730,6,2024-08-13 00:00:00,,,
NG1_2024_7731,6,2024-08-14 00:00:00,,,
NG1_2024_7732,6,2024-08-15 00:00:00,,,
NG1_2024_7733,6,2024-08-16 00:00:00,,,
NG1_2024_7734,6,2024-08-17 00:00:00,,,
NG1_2024_7735,6,2024-08-18 00:00:00,,,
